action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0164;0.128;0.236;0.3504;0.1752;0.094
0.0176;0.1244;0.2388;0.3448;0.1812;0.0932
0.012;0.1312;0.236;0.3504;0.1776;0.0928
0.0104;0.1332;0.2376;0.346;0.1768;0.096
0.016;0.13;0.236;0.348;0.1772;0.0928
0.0128;0.132;0.2412;0.3464;0.1772;0.0904
0.0124;0.1296;0.2396;0.3424;0.1824;0.0936
0.0144;0.1324;0.238;0.3468;0.174;0.0944
0.016;0.1296;0.2364;0.348;0.1744;0.0956
0.0112;0.1304;0.2428;0.348;0.1752;0.0924
0.0144;0.1276;0.2416;0.3516;0.1752;0.0896
0.012;0.1292;0.242;0.3472;0.174;0.0956
0.0112;0.1284;0.2444;0.3484;0.176;0.0916
0.0168;0.1304;0.2384;0.3456;0.1776;0.0912
0.01;0.1276;0.2424;0.3528;0.1744;0.0928
0.0132;0.128;0.2428;0.3448;0.1744;0.0968
